"Daily Delights"
"19/09/2025 00:00:00 - 19/09/2025 23:59:59"

"Sales Information"
"Gross Sales","516.75"
"Total Discount Given","-0.30"
"Total Service Fee","0.00"
"Net Sales","516.45"
"Total GST","0.00"
"Total Payment Fee Surcharge","0.00"
"Total Redeemed Point Amount","0.00"
"Total Cash Rounding","0.00"
"Total Sales","516.45"
"Tipping Amount","0.00"
"Total Cost","343.45"
"Gross Profit","173.00"
"Number of Sales Transactions","65"
"Average Sales/Transaction","7.95"
"Number of Voided Transactions","0"
"Total Voided Amount","0.00"
"Dine In/Takeaway","100.0%/0.0%"
"Total Pax","0"
"Total Customer Sign Ups","0"
"Member/Non-Member Sales","0.00/516.45"
"Member/Non-Member Sales Quantity","0/65"
"Total Ent Sales","0.00"
"Unpaid","0.00"

"Credit Information"
"Total Credit Sold","0.00"
"Total Credit Discount Given","0.00"
"Total Credit Used","0.00"

"Package Information"
"Total Package Amount Sold","0.00"
"Total Package Amount Redeemed","0.00"

"Total Settlement by Payment Method"
"NETS QR (Manual)","237.95"
"Cash","144.60"
"NETS","89.40"
"ParthibanCredit (Manual)","40.10"
"AhaCredit (Manual)","4.40"
"Total Settlement","516.45"

"Sales by Category"
"Category","Gross Sales","Quantity Sold","Total Discount Given"
"Drinks","128.70","55","0.00"
"Tobacco","107.80","7","0.00"
"Milk Curd Yoghurt Batter","47.10","10","0.00"
"Tibits","46.40","19","0.00"
"Alcohol","44.90","11","0.00"
"Ice Cream","31.50","10","-0.30"
"Cheese & Butter","30.00","3","0.00"
"Groceries","20.30","8","0.00"
"Household Items","11.90","3","0.00"
"Instant Food/ Noodles","8.60","4","0.00"
"Eggs","8.20","2","0.00"
"Toiletries","6.60","1","0.00"
"Customized Product","6.50","2","0.00"
"BBQ & Party","5.80","2","0.00"
"Vegetables","5.05","4","0.00"
"ICE CUBE","4.80","1","0.00"
"Canned Food","2.60","1","0.00"

"Sales by Product"
"Product Name","Category","Gross Sales","Barcode","Quantity Sold","Total Cost","Total Discount Given","Total Profit"
"ANCHOR STRONG BEER 490ML","Alcohol","30.10","","7","26.95","0.00","3.15"
"MM FRESH PANEER 500G","Cheese & Butter","30.00","8904083300045","3","23.88","0.00","6.12"
"MEIJI FRESH MILK 2LTR","Milk Curd Yoghurt Batter","21.30","8888470010208","3","17.70","0.00","3.60"
"MARLBORO MENTHOL","Tobacco","16.70","02812726","1","15.65","0.00","1.05"
"MARLBORO MEGA ICE BLAST SMELL TECH","Tobacco","16.70","88823249","1","15.65","0.00","1.05"
"SAMPOERNA U MENTHOL","Tobacco","15.90","8999909000667","1","14.29","0.00","1.61"
"VR HKDM Menthol","Tobacco","14.90","88823010","1","13.91","0.00","0.99"
"VR HKDM Green Cool","Tobacco","14.90","8888075019545","1","13.91","0.00","0.99"
"NEXT BLUE","Tobacco","14.40","88823638","1","13.44","0.00","0.96"
"Camel Filters Longs","Tobacco","14.30","","1","13.34","0.00","0.96"
"Dasani 1.5L","Drinks","12.60","8888002225506","7","4.90","0.00","7.70"
"DORITOS NACHO CHEESE 190G","Tibits","11.80","6924743926578","2","7.80","0.00","4.00"
"Pokka Peach Tea 1.5L","Drinks","10.80","8888196172419","3","5.25","0.00","5.55"
"Magnum Almond 100ml","Ice Cream","10.20","8711327614109","2","6.06","0.00","4.14"
"Somersby Apple Bottle 330ml","Alcohol","9.20","9556057447011","2","7.10","0.00","2.10"
"TRENDY KAMPUNG PREMIUM FRESH EGGS 10s","Eggs","8.20","8885012119092","2","6.00","0.00","2.20"
"Ayam Tuna-Tomato Chilli","Groceries","7.20","9556041614009","2","5.80","0.00","1.40"
"PEEL FRESH PINK GUAVA 946ML","Drinks","7.20","8888026572914","2","4.40","0.00","2.80"
"PEEL FRESH APPLE ALOEVERA 946ML","Drinks","7.20","8888026571917","2","4.40","0.00","2.80"
"DAILY FRESH YOGHURT 1LTR","Milk Curd Yoghurt Batter","7.00","","1","5.00","0.00","2.00"
"Nestle Drumstick Kit Kat Cone","Ice Cream","6.80","9556001076342","2","3.50","0.00","3.30"
"POKKA LYCHEE OOLONG TEA 500ML","Drinks","6.60","8888196192714","3","2.43","0.00","4.17"
"Kotex Luxe Ultrathin 23cm","Toiletries","6.60","8888336017433","1","3.96","0.00","2.64"
"POKKA GREAN TEA JASMINE 1.5L","Drinks","6.20","8888196173423","2","0.00","0.00","6.20"
"Ben & Jerrys Cookie Dough 100ML","Ice Cream","6.00","8711200564149","1","4.00","0.00","2.00"
"DORITOS SMOKIN BBQ 190G","Tibits","5.90","6924743926554","1","3.90","0.00","2.00"
"CALBEE CRISPY-P H&S 72G","Tibits","5.80","4901330306359","2","3.56","0.00","2.24"
"CARLSBERG GREEN CAN 320ML","Alcohol","5.60","5740600020552","2","4.00","0.00","1.60"
"ICEMAN PARTY PACK ICE 3KG","ICE CUBE","4.80","99439667129","1","2.00","0.00","2.80"
"Energizer Alkaline Power AAA 4s","Household Items","4.50","8888021200157","1","1.90","0.00","2.60"
"LG ASAFOETIDA PKT 50G","Groceries","4.40","","2","3.48","0.00","0.92"
"POKKA ICE LYCHEE TEA 500ML","Drinks","4.40","8888196172624","2","1.62","0.00","2.78"
"HL Milk Plain 946ml","Milk Curd Yoghurt Batter","4.20","8888026560010","1","2.90","0.00","1.30"
"MAGNOLIA FRESH CHOCOLATE MILK 946ML","Milk Curd Yoghurt Batter","4.20","8888200606312","1","3.31","0.00","0.89"
"MAGNOLIA FRESH MILK 946ML","Milk Curd Yoghurt Batter","4.10","8888200132217","1","3.27","0.00","0.83"
"DAILY FRESH CURD 470ML","Milk Curd Yoghurt Batter","3.90","8881300203061","1","2.57","0.00","1.33"
"NUTRISOY R$ PLAIN 946ML","Drinks","3.80","8888200619046","1","2.50","0.00","1.30"
"Duracell Specialty LR44 2s","Household Items","3.70","5000394162594","1","2.20","0.00","1.50"
"EVEREADY D SIZE x2","Household Items","3.70","8999002309650","1","2.00","0.00","1.70"
"PEEL FRESH ORANGE 946ML","Drinks","3.60","","1","2.20","0.00","1.40"
"FRUIT TREE FRESH NSA CRANBERRY POMEGRANATE 946ML","Drinks","3.60","8888200615475","1","2.22","0.00","1.38"
"Gatorade Blue Bolt ","Drinks","3.60","9556404120048","2","2.20","0.00","1.40"
"Nescafe Original 240ml","Drinks","3.60","9556001047175","2","1.46","0.00","2.14"
"YEO'S WINTER MELON 380Ml","Drinks","3.60","9556156056527","2","1.48","0.00","2.12"
"Fork 50","Customized Product","3.60","","1","0.00","0.00","3.60"
"MEIJI CUBE 45ML SODA STICK 1pc","Ice Cream","3.60","","3","0.99","-0.30","2.31"
"Pokka Ice Lemon Tea 1.5L","Drinks","3.40","8888196170217","1","1.75","0.00","1.65"
"LEXUS (MUNCH's) cheese 190g","Tibits","3.30","9556439882010","1","2.35","0.00","0.95"
"100+ Zero 325ml","Drinks","3.20","8888200708696","2","1.14","0.00","2.06"
"BEL BBQ TONG 14â","BBQ & Party","3.20","8886431214078","1","1.63","0.00","1.57"
"Coke Zero 1.5L","Drinks","3.20","8888002087500","1","1.50","0.00","1.70"
"Kotex Luxe UT ONW-28cm x 8's","Groceries","3.20","8888336025469","1","2.60","0.00","0.60"
"Yeo's Coconut 300ml","Drinks","3.20","77521321129","2","1.16","0.00","2.04"
"CALBEE POTATO SEAWEED 72G","Tibits","3.10","4901330306342","1","2.05","0.00","1.05"
"MONSTER ENERGY 355ML","Drinks","3.10","4897036691212","1","1.90","0.00","1.20"
"FANTA GRAPE 320ML","Drinks","3.00","8888002084004","2","1.14","0.00","1.86"
"Nestle Drumstick Chocolate","Ice Cream","3.00","9556001125095","1","1.40","0.00","1.60"
"sour tape","Customized Product","2.90","","1","0.00","0.00","2.90"
"HB - LYCHEE RED TEA 365ML","Drinks","2.80","35850018317","1","1.50","0.00","1.30"
"BIKA AYAM CHICKEN 70G","Tibits","2.80","9556378300408","2","1.30","0.00","1.50"
"MAGGI 2 MIN NOODLES 280G","Instant Food/ Noodles","2.80","8901058010749","1","1.44","0.00","1.36"
"CHILLI POWDER 250G","Groceries","2.80","","1","2.18","0.00","0.62"
"Monster White","Drinks","2.80","4897036692974","1","2.00","0.00","0.80"
"BIG SOUP SPOON","BBQ & Party","2.60","","1","1.40","0.00","1.20"
"AYAM WHOLE KERNEL CORN 425G","Canned Food","2.60","9556041603171","1","1.47","0.00","1.13"
"Wang laoji500ml","Drinks","2.40","6956367338666","1","1.20","0.00","1.20"
"TWISTIES CHIPSTER HOT&SPICY 60G","Tibits","2.30","9556072030076","1","1.25","0.00","1.05"
"Coke Zero 500ml","Drinks","2.20","8888002087470","1","0.71","0.00","1.49"
"100+ ZERO 500ml v2","Drinks","2.20","8888200708733","1","0.80","0.00","1.40"
"CUP NOODLES SEAFOOD 75G","Instant Food/ Noodles","2.20","8888279102036","1","1.15","0.00","1.05"
"Sprite 500ml","Drinks","2.20","9555589200675","1","0.70","0.00","1.50"
"Ribena Cheer Pack 330ml","Drinks","2.20","8885012290272","1","0.88","0.00","1.32"
"CUP NOODLES TOM YAM SEAFOOD 75G","Instant Food/ Noodles","2.20","8888279102098","1","1.15","0.00","1.05"
"Pokka Bandung 500ml","Drinks","2.20","8888196905314","1","1.04","0.00","1.16"
"CM CRACKER PEANUTS 135G","Tibits","2.10","8888112060097","1","1.31","0.00","0.79"
"Mountain Dew 400ml","Drinks","2.10","9556404011056","1","0.69","0.00","1.41"
"Tomato","Vegetables","2.10","","1","0.00","0.00","2.10"
"COCONUT WATER KARA 330ML","Drinks","2.00","8997212611006","1","0.95","0.00","1.05"
"NESTLE LIME AND VANILLA","Ice Cream","1.90","9556001091369","1","0.82","0.00","1.08"
"CHUPA CHUPS LOLLIPOP","Tibits","1.80","6911316001381","2","0.46","0.00","1.34"
"Mountain Dew 330ml","Drinks","1.80","9556404011032","1","0.55","0.00","1.25"
"ROLLER COASTER CHEESE2 70G","Tibits","1.70","8885000870516","1","0.87","0.00","0.83"
"100+ 325ml","Drinks","1.60","8888200708009","1","0.54","0.00","1.06"
"Fanta Orange 330ml","Drinks","1.60","8888002086008","1","0.56","0.00","1.04"
"POKKA SOURSOP 300ML","Drinks","1.60","8888196122827","1","0.66","0.00","0.94"
"Qoo White Grape 300ml","Drinks","1.60","8888002133023","1","0.63","0.00","0.97"
"Coke 320ml","Drinks","1.50","9555589212678","1","0.52","0.00","0.98"
"MAMEE TOMYAM CUP 68G","Instant Food/ Noodles","1.40","","1","0.73","0.00","0.67"
"NUTELLA B-READY T1 22g","Tibits","1.40","8000500224281","1","0.71","0.00","0.69"
"TOOR DHALL 250G","Groceries","1.40","8888546392504","1","1.09","0.00","0.31"
"TG PARTY SNACK 40G","Tibits","1.30","13256510414","1","0.48","0.00","0.82"
"MARIGOLD Yoghurt LF Natural W/Lid & Spoon 130G","Milk Curd Yoghurt Batter","1.30","8888026831011","1","0.65","0.00","0.65"
"GB PAPAD 120GM (1X120GM)","Groceries","1.30","8885008901175","1","0.75","0.00","0.55"
"Garlic role 1","Vegetables","1.30","6971589118865","1","0.65","0.00","0.65"
"YUPI FRUIT COCKTAIL","Tibits","1.20","8992741902922","1","0.60","0.00","0.60"
"Ginger","Vegetables","1.20","","1","0.00","0.00","1.20"
"YUPI SWEET HEART","Tibits","1.20","8992741903028","1","0.60","0.00","0.60"
"VITAGEN LESS SUGAR 125ML","Milk Curd Yoghurt Batter","1.10","","1","0.64","0.00","0.46"
"APOLLO CAKE STRAWBERRY","Tibits","0.70","26165071036","1","0.12","0.00","0.58"
"Green Chilli","Vegetables","0.45","","1","0.00","0.00","0.45"

"Sales by Modifier"
"Modifier","Gross Sales","Quantity Sold","Total Discount Given"

"Sales by Tag"
"Tag Name","Quantity Sold","Gross Sales","Total Discount Given"

"Sales by Tab"
"Tab Name","Gross Sales","Quantity Sold","Total Discount Given"
"Main","510.25","141","-0.30"
"Customized Product","6.50","2","0.00"

"Sales by Combo"
"Combo Name","Category","Quantity Sold","Gross Sales","Total Cost","Total Profit"

"Net Sales by Employee"
"Employee","Number of Sales","Total Sales","Total Package Amount","Total Commission"
"VSPraba","65","516.45","0.00","0.00"

"Discount Information"
"Discount Name","Discount Amount","Discount Count"
"Custom Discount","0.30","1"
