Date,Suppliers,Currency (SGD),Mode of payment,Added Time,Referrer Name,Task Owner
13-Sep-2025,Gardenia,39.4,Cash from POS,13-Sep-2025 18:18:38,https://forms.zohopublic.com/pallavaminimartgm1/form/Supplierspayment/thankyou/formperma/UAtTv3USHPQacnEaxYIunUJ71irbfPi6b7ZtwmY79QI,pallavaminimart@gmail.com
06-Sep-2025,Gardenia,38.22,Cash from POS,13-Sep-2025 18:25:11,https://forms.zohopublic.com/pallavaminimartgm1/form/Supplierspayment/thankyou/formperma/UAtTv3USHPQacnEaxYIunUJ71irbfPi6b7ZtwmY79QI,pallavaminimart@gmail.com
03-Sep-2025,Gardenia,50.05,Cash from POS,13-Sep-2025 18:29:02,https://forms.zohopublic.com/pallavaminimartgm1/form/Supplierspayment/thankyou/formperma/UAtTv3USHPQacnEaxYIunUJ71irbfPi6b7ZtwmY79QI,pallavaminimart@gmail.com
30-Aug-2025,Gardenia,41.31,Cash from POS,13-Sep-2025 18:29:29,https://forms.zohopublic.com/pallavaminimartgm1/form/Supplierspayment/thankyou/formperma/UAtTv3USHPQacnEaxYIunUJ71irbfPi6b7ZtwmY79QI,pallavaminimart@gmail.com
23-Aug-2025,Gardenia,35.6,Cash from POS,13-Sep-2025 18:30:06,https://forms.zohopublic.com/pallavaminimartgm1/form/Supplierspayment/thankyou/formperma/UAtTv3USHPQacnEaxYIunUJ71irbfPi6b7ZtwmY79QI,pallavaminimart@gmail.com
20-Aug-2025,Gardenia,27.09,Cash from POS,16-Sep-2025 19:06:06,https://forms.zohopublic.com/pallavaminimartgm1/form/Supplierspayment/thankyou/formperma/UAtTv3USHPQacnEaxYIunUJ71irbfPi6b7ZtwmY79QI,pallavaminimart@gmail.com
19-Aug-2025,HOUSE BRAND,159.14,Paynow,12-Sep-2025 19:27:03,https://forms.zohopublic.com/pallavaminimartgm1/form/Supplierspayment/thankyou/formperma/UAtTv3USHPQacnEaxYIunUJ71irbfPi6b7ZtwmY79QI,pallavaminimart@gmail.com
17-Aug-2025,IceMan Uni TAT Ice,50.0,Cash from POS,12-Sep-2025 19:29:46,https://forms.zohopublic.com/pallavaminimartgm1/form/Supplierspayment/thankyou/formperma/UAtTv3USHPQacnEaxYIunUJ71irbfPi6b7ZtwmY79QI,pallavaminimart@gmail.com
16-Aug-2025,Gardenia,22.09,Cash from POS,13-Sep-2025 20:17:14,https://forms.zohopublic.com/pallavaminimartgm1/form/Supplierspayment/thankyou/formperma/UAtTv3USHPQacnEaxYIunUJ71irbfPi6b7ZtwmY79QI,pallavaminimart@gmail.com
16-Aug-2025,Camel nuts,111.75,Paynow,12-Sep-2025 19:34:11,https://forms.zohopublic.com/pallavaminimartgm1/form/Supplierspayment/thankyou/formperma/UAtTv3USHPQacnEaxYIunUJ71irbfPi6b7ZtwmY79QI,pallavaminimart@gmail.com
15-Aug-2025,MalaysiaDairy,10.7,Cash from POS,12-Sep-2025 19:31:14,https://forms.zohopublic.com/pallavaminimartgm1/form/Supplierspayment/thankyou/formperma/UAtTv3USHPQacnEaxYIunUJ71irbfPi6b7ZtwmY79QI,pallavaminimart@gmail.com
14-Aug-2025,Meiji,70.63,Paynow,12-Sep-2025 19:31:49,https://forms.zohopublic.com/pallavaminimartgm1/form/Supplierspayment/thankyou/formperma/UAtTv3USHPQacnEaxYIunUJ71irbfPi6b7ZtwmY79QI,pallavaminimart@gmail.com
13-Aug-2025,Gardenia,39.73,Cash from POS,13-Sep-2025 20:18:29,https://forms.zohopublic.com/pallavaminimartgm1/form/Supplierspayment/thankyou/formperma/UAtTv3USHPQacnEaxYIunUJ71irbfPi6b7ZtwmY79QI,pallavaminimart@gmail.com
09-Aug-2025,Topseller,270.65,Paynow,12-Sep-2025 19:32:32,https://forms.zohopublic.com/pallavaminimartgm1/form/Supplierspayment/thankyou/formperma/UAtTv3USHPQacnEaxYIunUJ71irbfPi6b7ZtwmY79QI,pallavaminimart@gmail.com
09-Aug-2025,TRENDY EGG DISTRIBUTOR,76.3,Paynow,12-Sep-2025 19:30:31,https://forms.zohopublic.com/pallavaminimartgm1/form/Supplierspayment/thankyou/formperma/UAtTv3USHPQacnEaxYIunUJ71irbfPi6b7ZtwmY79QI,pallavaminimart@gmail.com
08-Aug-2025,Gardenia,32.99,Cash from POS,13-Sep-2025 18:22:15,https://forms.zohopublic.com/pallavaminimartgm1/form/Supplierspayment/thankyou/formperma/UAtTv3USHPQacnEaxYIunUJ71irbfPi6b7ZtwmY79QI,pallavaminimart@gmail.com
08-Aug-2025,SunShine,22.68,Cash from POS,13-Sep-2025 18:24:42,https://forms.zohopublic.com/pallavaminimartgm1/form/Supplierspayment/thankyou/formperma/UAtTv3USHPQacnEaxYIunUJ71irbfPi6b7ZtwmY79QI,pallavaminimart@gmail.com
08-Aug-2025,Gardenia,27.8,Cash from POS,13-Sep-2025 20:18:55,https://forms.zohopublic.com/pallavaminimartgm1/form/Supplierspayment/thankyou/formperma/UAtTv3USHPQacnEaxYIunUJ71irbfPi6b7ZtwmY79QI,pallavaminimart@gmail.com
02-Aug-2025,Gardenia,20.37,Cash from POS,16-Sep-2025 19:05:11,https://forms.zohopublic.com/pallavaminimartgm1/form/Supplierspayment/thankyou/formperma/UAtTv3USHPQacnEaxYIunUJ71irbfPi6b7ZtwmY79QI,pallavaminimart@gmail.com
31-Jul-2025,F&N Foods Pte Ltd,70.47,Paynow,12-Sep-2025 19:09:26,https://forms.zohopublic.com/pallavaminimartgm1/form/Supplierspayment/thankyou/formperma/UAtTv3USHPQacnEaxYIunUJ71irbfPi6b7ZtwmY79QI,pallavaminimart@gmail.com
31-Jul-2025,Meiji,88.3,Paynow,12-Sep-2025 18:53:03,https://forms.zohopublic.com/pallavaminimartgm1/form/Supplierspayment/thankyou/formperma/UAtTv3USHPQacnEaxYIunUJ71irbfPi6b7ZtwmY79QI,pallavaminimart@gmail.com
