Date,Suppliers,Currency (SGD),Mode of payment,Added Time,Referrer Name,Task Owner
20-Aug-2025,Gardenia,27.09,Cash from POS,16-Sep-2025 19:06:06,https://forms.zohopublic.com/pallavaminimartgm1/form/Supplierspayment/thankyou/formperma/UAtTv3USHPQacnEaxYIunUJ71irbfPi6b7ZtwmY79QI,pallavaminimart@gmail.com
02-Aug-2025,Gardenia,20.37,Cash from POS,16-Sep-2025 19:05:11,https://forms.zohopublic.com/pallavaminimartgm1/form/Supplierspayment/thankyou/formperma/UAtTv3USHPQacnEaxYIunUJ71irbfPi6b7ZtwmY79QI,pallavaminimart@gmail.com
08-Aug-2025,Gardenia,27.80,Cash from POS,13-Sep-2025 20:18:55,https://forms.zohopublic.com/pallavaminimartgm1/form/Supplierspayment/thankyou/formperma/UAtTv3USHPQacnEaxYIunUJ71irbfPi6b7ZtwmY79QI,pallavaminimart@gmail.com
13-Aug-2025,Gardenia,39.73,Cash from POS,13-Sep-2025 20:18:29,https://forms.zohopublic.com/pallavaminimartgm1/form/Supplierspayment/thankyou/formperma/UAtTv3USHPQacnEaxYIunUJ71irbfPi6b7ZtwmY79QI,pallavaminimart@gmail.com
16-Aug-2025,Gardenia,22.09,Cash from POS,13-Sep-2025 20:17:14,https://forms.zohopublic.com/pallavaminimartgm1/form/Supplierspayment/thankyou/formperma/UAtTv3USHPQacnEaxYIunUJ71irbfPi6b7ZtwmY79QI,pallavaminimart@gmail.com
23-Aug-2025,Gardenia,35.60,Cash from POS,13-Sep-2025 18:30:06,https://forms.zohopublic.com/pallavaminimartgm1/form/Supplierspayment/thankyou/formperma/UAtTv3USHPQacnEaxYIunUJ71irbfPi6b7ZtwmY79QI,pallavaminimart@gmail.com
30-Aug-2025,Gardenia,41.31,Cash from POS,13-Sep-2025 18:29:29,https://forms.zohopublic.com/pallavaminimartgm1/form/Supplierspayment/thankyou/formperma/UAtTv3USHPQacnEaxYIunUJ71irbfPi6b7ZtwmY79QI,pallavaminimart@gmail.com
03-Sep-2025,Gardenia,50.05,Cash from POS,13-Sep-2025 18:29:02,https://forms.zohopublic.com/pallavaminimartgm1/form/Supplierspayment/thankyou/formperma/UAtTv3USHPQacnEaxYIunUJ71irbfPi6b7ZtwmY79QI,pallavaminimart@gmail.com
30-Jul-2025,Gardenia,36.96,Cash from POS,13-Sep-2025 18:28:20,https://forms.zohopublic.com/pallavaminimartgm1/form/Supplierspayment/thankyou/formperma/UAtTv3USHPQacnEaxYIunUJ71irbfPi6b7ZtwmY79QI,pallavaminimart@gmail.com
06-Sep-2025,Gardenia,38.22,Cash from POS,13-Sep-2025 18:25:11,https://forms.zohopublic.com/pallavaminimartgm1/form/Supplierspayment/thankyou/formperma/UAtTv3USHPQacnEaxYIunUJ71irbfPi6b7ZtwmY79QI,pallavaminimart@gmail.com
